,Children,Bandwidth_GB_Year,Age,Tenure,MonthlyCharge
9069,0,6121.363135,33,66.00877,252.6378
2603,2,460.5286853,53,1.506136,159.9349
7738,1,4271.0951,56,51.11345,157.4698
1579,0,871.1409059,43,1.760409672,242.657291
5058,1,6427.653862,28,71.66261,207.6094
5753,1,4970.688189,89,59.71663,147.4738
3548,4,1497.624239,34,7.138798,129.9621
409,3,1420.771651,71,8.69085131,255.155493
4097,4,1760.029684,70,18.44164,137.4392
6461,3,5951.449014,81,62.12094,200.1185
5601,8,5876.124132,60,60.99804,235.1591
5231,10,5626.09355,59,60.16962,139.9816
3777,1,2066.602785,34,14.1842,142.4526
2726,2,2017.913692,64,10.22422,255.1336
477,6,573.751474,46,2.598489694,124.97808
1329,0,941.291001,42,9.339307484,144.960655
4035,1,1932.932484,72,20.21413,152.466
9642,6,6060.997249,73,70.30088,137.4392
1777,2,703.2651223,46,4.576705489,149.970715
6096,2,6021.120111,22,62.46678,162.447
751,2,1166.469107,43,7.677648117,175.133074
5792,1,5727.757032,36,68.01745,112.4551
4060,0,1722.330381,19,11.69113,149.9378
9041,3,5695.648337,58,68.75872,112.4551
6030,2,6000.793836,36,69.02601,149.9621
5898,2,6191.579895,26,61.2541,242.6106
9338,0,4974.114415,19,53.54212,137.4698
9160,1,3347.326138,77,39.72823,112.4844
9996,4,5695.95181,48,61.04037,207.4811
5151,3,4745.32751,64,52.61686,194.9882
468,0,2256.776479,73,20.04140358,129.962093
1545,0,418.3354904,74,1.665089598,129.976324
6311,3,5849.257593,76,60.72645,187.6094
2683,5,1034.133433,25,5.449246,120.0035
8966,2,5030.841405,30,57.71425,114.9976
6181,0,5045.986552,88,58.52876,184.967
1025,0,1714.188033,59,18.29391747,172.47417
5112,4,5012.14381,33,47.96609,184.9634
8562,0,5334.884836,70,62.77262,114.9976
5368,2,4463.694644,57,43.80971,164.967
2354,0,419.4107069,55,3.437502,157.4698
7278,0,5646.557605,84,67.31311,107.5286
3602,0,1524.959035,75,10.56737,265.1283
773,1,598.4998978,29,3.990895779,134.950905
6773,4,5974.963224,55,66.2177,204.9634
8809,4,4797.290998,44,48.27562,139.9349
3382,0,655.8888087,51,2.644504,204.9634
641,1,1001.860025,83,4.241019424,172.440432
4233,0,924.9657013,69,3.761516,242.6281
3815,6,1575.575608,83,7.232429,207.4754
4104,1,1654.594685,32,15.15905,159.965
9925,2,3903.674979,72,37.8337,197.4702
1108,0,746.9528584,21,1.763317472,127.460067
3527,0,1046.538825,30,4.380312,232.6228
3495,1,322.5237064,67,1.253929,172.4742
1420,1,840.1259162,55,6.086525665,139.99789
6923,0,5636.386434,85,68.1253,117.5015
3881,0,506.014128,73,7.097053,124.9643
8353,2,4896.176201,25,48.03223,182.4433
6245,1,5791.466648,48,66.85047,149.9621
4938,0,1026.949787,74,11.7516,147.4783
6798,3,5171.93181,87,54.47785,129.9621
7812,3,5392.876359,28,61.91437,147.4421
1680,1,1896.10656,35,12.95969924,245.145743
6715,1,5614.673422,64,61.51143,127.4601
633,0,1662.516242,64,14.28414317,220.132293
2569,4,494.8412692,81,3.765838,137.4686
7359,6,6349.768903,47,68.08474,104.9781
2166,3,1328.483312,65,1.650984,247.6647
8169,3,4968.873698,53,56.36817,182.4538
8845,1,4863.296508,63,53.60305,217.4702
2825,4,1322.429941,55,5.389466,142.4526
4087,1,1068.365286,61,9.112126,139.9979
6243,2,6676.117614,44,71.61196,119.9568
8364,3,5644.627475,20,63.59872,117.472
3941,9,3174.219068,58,23.49138,200.1323
9179,0,4780.816747,86,56.92191,162.4689
8075,3,5228.606985,52,60.57969,159.983
9195,0,4957.435146,19,55.27092,139.9979
4128,0,1717.407155,40,8.894523,212.6415
1172,0,1614.1637,40,6.126946607,242.610632
8668,3,6260.19195,59,69.22974,240.1149
4222,0,700.7755614,76,4.192662,204.9634
4834,8,702.3872964,63,3.305552,127.525
2576,4,1466.444336,61,6.960522,162.4676
