,Children,Age,Tenure,MonthlyCharge,Bandwidth_GB_Year,DummyChurn
0,0,68,6.795512947,172.455519,904.5361102,0
1,1,27,1.156680997,242.632554,800.9827661,1
2,4,50,15.75414408,159.947583,2054.706961,0
3,1,48,17.08722662,119.95684,2164.579412,0
4,0,83,1.670971726,149.948316,271.4934362,1
5,3,83,7.000993555,185.007692,1039.357983,0
6,0,79,13.23677381,200.118516,1907.242972,1
7,2,30,4.26425515,114.950905,979.6127078,1
8,2,49,8.220686373,117.468591,1312.874964,0
9,1,86,3.422086139,162.482694,508.7637913,0
10,7,23,19.26726194,174.958118,2728.767869,0
11,2,56,10.52199781,149.962093,1180.588788,0
12,0,83,13.01149229,137.439154,1196.388018,0
13,5,29,16.87922024,184.971516,1948.694497,0
14,1,30,10.06019902,159.965581,1582.295235,1
15,3,39,13.87001293,177.65076,1840.014467,1
16,0,63,15.78214958,194.966286,2070.376729,1
17,2,60,2.303331273,202.682861,882.0985933,1
18,3,61,17.10995632,152.490739,1833.0967,0
19,3,23,12.80615845,149.944668,1954.080809,1
20,4,38,20.45390977,184.978458,2330.319383,0
21,3,30,2.415991977,127.495766,594.1054279,0
22,3,52,6.652298992,124.964303,713.0633088,0
23,2,68,8.543717478,149.948316,945.3802928,0
24,3,75,5.770390256,162.511928,870.76398,1
25,1,77,4.157658837,92.455141,774.2937069,1
26,1,47,10.40566091,222.649979,1506.446527,1
27,0,70,1.392421597,139.981577,419.0508708,1
28,3,20,1.430386349,200.132293,1259.415493,1
29,4,69,5.425864884,257.651257,1745.125956,1
30,9,45,11.08287797,230.105118,1795.465729,0
31,0,40,3.586184954,147.489301,492.4771472,0
32,6,82,4.727388465,230.105118,1013.993166,1
33,5,74,20.89923386,174.958118,2680.762173,1
34,4,69,3.471329958,267.664655,1081.814362,1
35,1,52,5.478588204,162.483267,1209.961168,1
36,2,26,3.312991809,229.993134,897.5919144,1
37,1,25,7.161561527,140.00128,1340.930156,0
38,1,66,9.847563364,184.964681,1113.993679,0
39,1,72,16.04202196,147.473844,1530.10769,0
40,3,21,9.179779682,172.457857,1310.137419,0
41,3,55,3.002844144,107.481989,892.8964931,0
42,4,41,3.924254455,255.141716,1125.581944,1
43,4,32,18.55959629,192.456745,2016.710031,0
44,0,22,8.798394712,242.632554,1412.736809,1
45,2,44,10.377366,245.174977,1710.689671,1
